frame,sam2_label,gt_bird_id,iou
0,1,14,0.0031007751937984496
0,1,38,0.0
0,1,75,0.6983435047951178
0,1,113,0.0
0,2,14,0.0
0,2,38,0.0
0,2,75,0.00027624309392265195
0,2,113,0.8050473186119874
0,3,14,0.0
0,3,38,0.803062797399638
0,3,75,0.0
0,3,113,0.0
0,4,14,0.789293067947838
0,4,38,0.0
0,4,75,0.0
0,4,113,0.0
750,1,14,0.0031686933100962492
750,1,38,0.0
750,1,75,0.6514296463506396
750,1,113,0.0
750,2,14,0.0
750,2,38,0.0
750,2,75,0.0
750,2,113,0.8229905437352246
750,3,14,0.0
750,3,38,0.0
750,3,75,0.0
750,3,113,0.0
750,4,14,0.7703971674876847
750,4,38,0.0
750,4,75,0.0
750,4,113,0.0
1500,1,14,0.020991993751220465
1500,1,38,0.0
1500,1,75,0.7819563522992985
1500,1,113,0.0
1500,2,14,0.0
1500,2,38,0.0
1500,2,75,0.0
1500,2,113,0.6425536024724744
1500,3,14,0.0
1500,3,38,0.9041575328816261
1500,3,75,0.0
1500,3,113,0.0
1500,4,14,0.7005023830993172
1500,4,38,0.0
1500,4,75,0.0
1500,4,113,0.0
2251,1,14,0.3292532285233015
2251,1,38,0.0
2251,1,75,0.0
2251,1,113,0.0
2251,2,14,0.0
2251,2,38,0.0
2251,2,75,0.0
2251,2,113,0.0
2251,3,14,0.0
2251,3,38,0.4585935516628586
2251,3,75,0.0
2251,3,113,0.0
2251,4,14,0.0
2251,4,38,0.0
2251,4,75,0.0
2251,4,113,0.0
3000,1,14,0.0
3000,1,38,0.0
3000,1,75,0.0
3000,1,113,0.0
3000,2,14,0.0
3000,2,38,0.0
3000,2,75,0.0
3000,2,113,0.6509174311926605
3000,3,14,0.0
3000,3,38,0.30376736392627424
3000,3,75,0.0
3000,3,113,0.0
3000,4,14,0.0
3000,4,38,0.0
3000,4,75,0.0
3000,4,113,0.0
3750,1,14,0.38672575709612744
3750,1,38,0.0
3750,1,75,0.0
3750,1,113,0.0
3750,2,14,0.0
3750,2,38,0.019931126031666635
3750,2,75,0.0
3750,2,113,0.0
3750,3,14,0.0011638980002116178
3750,3,38,0.0
3750,3,75,0.1255991687057956
3750,3,113,0.0
3750,4,14,0.0
3750,4,38,0.0
3750,4,75,0.0
3750,4,113,0.7923702313946216
