frame_idx,block_id,local_frame,label,sam2_label,gt_bird_id,annotation_frame,distance_from_prompt,is_calibration_frame,iou,is_error,status,pred_area,gt_area,continuity_score,ref_iou_score,ac_score,area_ratio,centroid_jump,reason,gt_has_other_ids,gt_tiny_target
0,0,0,darkest,1,75,0,0,1,0.6983435047951178,0,evaluated,5656,4084,,1.0,,,,no_previous_adjacent_frame,1,0
0,0,0,brownish,2,113,0,0,1,0.8050473186119874,0,evaluated,3158,2564,,1.0,,,,no_previous_adjacent_frame,1,0
0,0,0,orange,3,38,0,0,1,0.803062797399638,0,evaluated,29811,23996,,1.0,,,,no_previous_adjacent_frame,1,0
0,0,0,spotted,4,14,0,0,1,0.789293067947838,0,evaluated,5732,4696,,1.0,,,,no_previous_adjacent_frame,1,0
1,0,1,darkest,1,75,0,1,0,0.6686535764375876,0,evaluated,5682,3836,0.9955603813358662,0.9622706818968502,0.9789155316163582,1.0045968882602545,0.6659427996200672,ok,1,0
1,0,1,brownish,2,113,0,1,0,0.7281425272187397,0,evaluated,3018,2220,0.9700129561589854,0.7198551935394041,0.8449340748491947,0.9556681443951869,4.498056576152189,ok,1,0
1,0,1,orange,3,38,0,1,0,0.8292748015211154,0,evaluated,29938,24900,0.9949158584286679,0.9785747400490099,0.9867452992388389,1.0042601724195768,0.7626212356998143,ok,1,0
1,0,1,spotted,4,14,0,1,0,0.8167584308327598,0,evaluated,5713,4846,0.9809884790699648,0.935893098782138,0.9584407889260513,0.9966852756454989,2.851728139505278,ok,1,0
2,0,2,darkest,1,75,0,2,0,0.665379891208984,0,evaluated,5691,3800,0.9957450715294943,0.963828314295604,0.9797866929125492,1.001583949313622,0.6382392705758534,ok,1,0
2,0,2,brownish,2,113,0,2,0,0.7751340482573726,0,evaluated,2969,2328,0.9583093517267797,0.4724825763037731,0.7153959640152764,0.9837640821736249,6.253597240983047,ok,1,0
2,0,2,orange,3,38,0,2,0,0.8366765095204154,0,evaluated,29366,24748,0.9902608458761833,0.9696778058847024,0.9799693258804429,0.9808938472843878,1.169581860014488,ok,1,0
2,0,2,spotted,4,14,0,2,0,0.8104120739358996,0,evaluated,5772,4904,0.9880984480625881,0.8905505341002465,0.9393244910814174,1.0103273236478207,1.7852327906117933,ok,1,0
3,0,3,darkest,1,75,0,3,0,0.6144515681857564,0,evaluated,5701,3616,0.9989405546324762,0.9611466068036608,0.9800435807180685,1.0017571604287472,0.1589168051285635,ok,1,0
3,0,3,brownish,2,113,0,3,0,0.14039890496675791,1,evaluated,3160,2672,0.9678342876389356,0.37168910117238385,0.6697616944056597,1.0643314247221287,4.518534651272463,ok,1,0
3,0,3,orange,3,38,0,3,0,0.7809498663322222,0,evaluated,29401,24560,0.9969536692722782,0.9651521688626332,0.9810529190674557,1.001191854525642,0.45694960915826466,ok,1,0
3,0,3,spotted,4,14,0,3,0,0.6686217008797654,0,evaluated,5700,5680,0.9904021117094238,0.8606770833333334,0.9255395975213786,0.9875259875259875,1.4396832435864197,ok,1,0
4,0,4,darkest,1,75,0,4,0,0.5840027345752863,0,evaluated,5776,3492,0.9934222066304157,0.9605556508317613,0.9769889287310884,1.0131555867391686,0.5368581862254915,ok,1,0
4,0,4,brownish,2,113,0,4,0,0.21724845995893224,1,evaluated,3308,2620,0.974033163158465,0.2796358598852167,0.6268345115218409,1.0468354430379747,3.895025526230248,ok,1,0
4,0,4,orange,3,38,0,4,0,0.7408754297804814,0,evaluated,29410,23248,0.9983486466340119,0.9585607037735225,0.9784546752037673,1.0003061120370056,0.24770300489820887,ok,1,0
4,0,4,spotted,4,14,0,4,0,0.6172979084228377,0,evaluated,5654,5790,0.9918826816976258,0.8513821138211383,0.9216323977593821,0.9919298245614036,1.2175977453561173,ok,1,0
5,0,5,darkest,1,75,0,5,0,0.5240115134070595,0,evaluated,5784,4276,0.9991174430480756,0.9582334816843546,0.978675462366215,1.0013850415512466,0.1323835427886677,ok,1,0
5,0,5,brownish,2,113,0,5,0,0.2957957957957958,1,evaluated,3361,2680,0.9757745222770358,0.21759432200224132,0.5966844221396386,1.0160217654171706,3.63382165844464,ok,1,0
5,0,5,orange,3,38,0,5,0,0.7456561310607315,0,evaluated,29357,23388,0.9979166227855488,0.952352669438395,0.9751346461119719,0.9981978918735124,0.3125065821676793,ok,1,0
5,0,5,spotted,4,14,0,5,0,0.5993629691178507,0,evaluated,5641,5908,0.9973911430817785,0.8429752066115702,0.9201831748466743,0.9977007428369296,0.3913285377332298,ok,1,0
6,0,6,darkest,1,75,0,6,0,0.558309765430045,0,evaluated,5779,3588,0.9987694584388912,0.9540328092959672,0.9764011338674292,0.9991355463347165,0.1845812341663205,ok,1,0
6,0,6,brownish,2,113,0,6,0,0.34974381822232126,1,evaluated,3311,2748,0.9783860533521669,0.17340830763649556,0.5758971804943313,0.9851234751562035,3.2420919971749633,ok,1,0
6,0,6,orange,3,38,0,6,0,0.749546039816435,0,evaluated,29384,23608,0.9980816238704495,0.9484858459512837,0.9732837349108666,1.0009197125046838,0.28775641943256514,ok,1,0
6,0,6,spotted,4,14,0,6,0,0.627906976744186,0,evaluated,5776,5984,0.9880340365183478,0.8237717908082409,0.9059029136632943,1.0239319269633045,1.7697938624902656,ok,1,0
7,0,7,darkest,1,75,0,7,0,0.5001521606816799,0,evaluated,5775,4084,0.9995598428809985,0.9496844618795839,0.9746221523802912,0.9993078387264233,0.06602356785021529,ok,1,0
7,0,7,brownish,2,113,0,7,0,0.38247445096760163,1,evaluated,3382,2976,0.9875474178958322,0.1358110455019104,0.5616792316988714,1.0214436726064633,1.8678873156251623,ok,1,0
7,0,7,orange,3,38,0,7,0,0.7724483736887247,0,evaluated,29342,24388,0.998770805211033,0.9456303654244647,0.9722005853177489,0.9985706506942553,0.18437921834505583,ok,1,0
7,0,7,spotted,4,14,0,7,0,0.6612515892075151,0,evaluated,5828,5932,0.9954952271524039,0.8068146295717412,0.9011549283620726,1.0090027700831026,0.6757159271394078,ok,1,0
8,0,8,darkest,1,75,0,8,0,0.4659581534373962,1,evaluated,5704,3124,0.9937762973352033,0.9472060335961604,0.9704911654656818,0.9877056277056278,0.608551889025452,ok,1,0
8,0,8,brownish,2,113,0,8,0,0.45577105014191105,1,evaluated,3179,2976,0.9680717206668763,0.10631983240223464,0.5371957765345554,0.9399763453577764,3.855915669405382,ok,1,0
8,0,8,orange,3,38,0,8,0,0.7795635311904292,0,evaluated,29333,24812,0.9989674151762167,0.9425230728807436,0.9707452440284801,0.9996932724422329,0.1548877235674922,ok,1,0
