frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
41,3,38,0.6838,0,0.5
41,1,75,0.6476,0,0.5
41,2,113,0.4317,1,0.5
41,4,14,0.0355,1,0.5
42,1,75,0.6472,0,0.5
42,3,38,0.6393,0,0.5
42,2,113,0.4231,1,0.5
42,4,14,0.0356,1,0.5
43,1,75,0.6397,0,0.5
43,3,38,0.5855,0,0.5
43,2,113,0.4337,1,0.5
43,4,14,0.043,1,0.5
44,1,75,0.6406,0,0.5
44,3,38,0.5154,0,0.5
44,2,113,0.4306,1,0.5
44,4,14,0.0358,1,0.5
45,1,75,0.6322,0,0.5
45,3,38,0.4471,1,0.5
45,2,113,0.4379,1,0.5
45,4,14,0.0272,1,0.5
46,1,75,0.6044,0,0.5
46,2,113,0.4326,1,0.5
46,3,38,0.3681,1,0.5
46,4,14,0.0367,1,0.5
47,1,75,0.5917,0,0.5
47,2,113,0.4445,1,0.5
47,3,38,0.3149,1,0.5
47,4,14,0.0526,1,0.5
48,1,75,0.5897,0,0.5
48,2,113,0.4806,1,0.5
48,3,38,0.2983,1,0.5
48,4,14,0.0669,1,0.5
49,1,75,0.5569,0,0.5
49,2,113,0.5409,0,0.5
49,3,38,0.2936,1,0.5
49,4,14,0.0816,1,0.5
50,2,113,0.6001,0,0.5
50,1,75,0.5334,0,0.5
50,3,38,0.2935,1,0.5
50,4,14,0.0978,1,0.5
51,2,113,0.6319,0,0.5
51,1,75,0.4972,1,0.5
51,3,38,0.3262,1,0.5
51,4,14,0.1137,1,0.5
52,2,113,0.6183,0,0.5
52,1,75,0.4429,1,0.5
52,3,38,0.376,1,0.5
52,4,14,0.1301,1,0.5
53,2,113,0.6027,0,0.5
53,1,75,0.4017,1,0.5
53,3,38,0.3885,1,0.5
53,4,14,0.1521,1,0.5
54,2,113,0.5655,0,0.5
54,3,38,0.4174,1,0.5
54,1,75,0.36,1,0.5
54,4,14,0.1528,1,0.5
55,2,113,0.5641,0,0.5
55,3,38,0.4163,1,0.5
55,1,75,0.303,1,0.5
55,4,14,0.1651,1,0.5
56,2,113,0.5357,0,0.5
56,3,38,0.4448,1,0.5
56,1,75,0.2332,1,0.5
56,4,14,0.182,1,0.5
57,2,113,0.5064,0,0.5
57,3,38,0.4101,1,0.5
57,4,14,0.2031,1,0.5
57,1,75,0.1981,1,0.5
58,2,113,0.4668,1,0.5
58,3,38,0.3365,1,0.5
58,4,14,0.2204,1,0.5
58,1,75,0.1838,1,0.5
59,2,113,0.4572,1,0.5
59,4,14,0.2448,1,0.5
59,3,38,0.2396,1,0.5
59,1,75,0.1818,1,0.5
60,2,113,0.4558,1,0.5
60,4,14,0.2635,1,0.5
60,1,75,0.1859,1,0.5
60,3,38,0.1635,1,0.5
61,2,113,0.4589,1,0.5
61,4,14,0.2933,1,0.5
