abs_frame,local_frame,block_id,label,logit_score,continuity_score,ref_iou_score,combined_score,flagged,area_px,area_ratio,centroid_jump,reason
15,15,0,brownish,0.1,0.9948,0.0124,0.3422,1,3384,0.998,0.8,ok
15,15,0,orange,0.1,0.9892,0.8753,0.5994,0,29151,1.006,1.6,ok
15,15,0,spotted,0.1,0.9762,0.5304,0.492,0,7134,0.96,3.6,ok
16,16,0,darkest,0.1,0.9957,0.7887,0.5753,0,5217,0.996,0.6,ok
16,16,0,brownish,0.1,0.98,0.005,0.3355,1,3254,0.962,1.7,ok
16,16,0,orange,0.1,0.9931,0.8631,0.5969,0,28889,0.991,1.0,ok
16,16,0,spotted,0.1,0.9876,0.513,0.4902,0,6962,0.976,1.1,ok
17,17,0,darkest,0.1,0.9908,0.7722,0.5689,0,5248,1.006,1.4,ok
17,17,0,brownish,0.1,0.9946,0.0027,0.3392,1,3221,0.99,0.8,ok
17,17,0,orange,0.1,0.9949,0.8594,0.5963,0,29004,1.004,0.8,ok
17,17,0,spotted,0.1,0.983,0.4922,0.4825,0,7199,1.034,1.6,ok
18,18,0,darkest,0.1,0.9917,0.7486,0.5621,0,5176,0.986,1.2,ok
18,18,0,brownish,0.1,0.9938,0.0031,0.3391,1,3228,1.002,0.9,ok
18,18,0,orange,0.1,0.9953,0.8451,0.5921,0,29045,1.001,0.7,ok
18,18,0,spotted,0.1,0.9741,0.504,0.4834,0,7572,1.052,1.0,ok
19,19,0,darkest,0.1,0.9849,0.7308,0.5547,0,5332,1.03,1.3,ok
19,19,0,brownish,0.1,0.9935,0.0044,0.3394,1,3261,1.01,1.0,ok
19,19,0,orange,0.1,0.9949,0.833,0.5884,0,29009,0.999,0.8,ok
19,19,0,spotted,0.1,0.9967,0.5209,0.4953,0,7556,0.998,0.5,ok
20,20,0,darkest,0.1,0.9935,0.7203,0.5541,0,5401,1.013,0.7,ok
20,20,0,brownish,0.1,0.9975,0.0034,0.3403,1,3277,1.005,0.3,ok
20,20,0,orange,0.1,0.9967,0.8244,0.5863,0,29019,1.0,0.5,ok
20,20,0,spotted,0.1,0.9699,0.5381,0.4924,0,7617,1.008,4.5,ok
21,21,0,darkest,0.1,0.9942,0.7125,0.552,0,5339,0.989,0.3,ok
21,21,0,brownish,0.1,0.9916,0.0029,0.3384,1,3309,1.01,1.3,ok
21,21,0,orange,0.1,0.9977,0.8178,0.5846,0,29028,1.0,0.3,ok
21,21,0,spotted,0.1,0.9794,0.5863,0.5097,0,7315,0.96,1.7,ok
22,22,0,darkest,0.1,0.9979,0.7024,0.5501,0,5339,1.0,0.3,ok
22,22,0,brownish,0.1,0.9861,0.0002,0.3359,1,3320,1.003,2.1,ok
22,22,0,orange,0.1,0.9973,0.8112,0.5826,0,29126,1.003,0.4,ok
22,22,0,spotted,0.1,0.9798,0.6759,0.5367,0,7194,0.983,3.0,ok
23,23,0,darkest,0.1,0.9963,0.7003,0.549,0,5378,1.007,0.5,ok
23,23,0,brownish,0.1,0.9673,0.0034,0.3312,1,3537,1.065,1.6,ok
23,23,0,orange,0.1,0.9959,0.8052,0.5803,0,29005,0.996,0.6,ok
23,23,0,spotted,0.1,0.9782,0.6387,0.5251,0,7045,0.979,3.3,ok
24,24,0,darkest,0.1,0.9969,0.6971,0.5482,0,5345,0.994,0.3,ok
24,24,0,brownish,0.1,0.9977,0.0041,0.3405,1,3521,0.995,0.2,ok
24,24,0,orange,0.1,0.9987,0.7981,0.579,0,29037,1.001,0.2,ok
24,24,0,spotted,0.1,0.9582,0.6122,0.5111,0,6501,0.923,5.8,ok
25,25,0,darkest,0.1,0.9982,0.6957,0.5482,0,5326,0.996,0.2,ok
25,25,0,brownish,0.1,0.9774,0.0107,0.3364,1,3369,0.957,1.1,ok
25,25,0,orange,0.1,0.9989,0.7928,0.5775,0,29038,1.0,0.2,ok
25,25,0,spotted,0.1,0.9711,0.6047,0.5127,0,6146,0.945,2.6,ok
26,26,0,darkest,0.1,0.9994,0.6964,0.5487,0,5332,1.001,0.1,ok
26,26,0,brownish,0.1,0.9771,0.025,0.3406,1,3523,1.046,2.9,ok
26,26,0,orange,0.1,0.9962,0.7861,0.5747,0,29256,1.008,0.5,ok
26,26,0,spotted,0.1,0.9776,0.5907,0.5105,0,5882,0.957,1.7,ok
27,27,0,darkest,0.1,0.9959,0.6979,0.5481,0,5289,0.992,0.6,ok
27,27,0,brownish,0.1,0.9797,0.0699,0.3549,0,3488,0.99,3.1,ref_iou_drift
27,27,0,orange,0.1,0.9894,0.7675,0.567,0,29150,0.996,1.6,ok
27,27,0,spotted,0.1,0.9861,0.5792,0.5096,0,5864,0.997,2.1,ok
28,28,0,darkest,0.1,0.9984,0.6997,0.5494,0,5306,1.003,0.2,ok
28,28,0,brownish,0.1,0.9773,0.1344,0.3735,0,3495,1.002,3.4,ok
28,28,0,orange,0.1,0.9882,0.7588,0.5641,0,29153,1.0,1.8,ok
28,28,0,spotted,0.1,0.9776,0.5687,0.5039,0,6127,1.045,2.3,ok
29,29,0,darkest,0.1,0.9983,0.7009,0.5498,0,5302,0.999,0.3,ok
29,29,0,brownish,0.1,0.976,0.1907,0.39,0,3586,1.026,3.6,ok
29,29,0,orange,0.1,0.9915,0.7678,0.5678,0,29651,1.017,0.9,ok
29,29,0,spotted,0.1,0.9838,0.5722,0.5068,0,6193,1.011,2.4,ok
30,30,0,darkest,0.1,0.9988,0.7008,0.5499,0,5289,0.998,0.1,ok
30,30,0,brownish,0.1,0.9803,0.2314,0.4035,0,3727,1.039,2.4,ok
30,30,0,orange,0.1,0.9821,0.7436,0.5577,0,29301,0.988,2.7,ok
30,30,0,spotted,0.1,0.9687,0.5911,0.5079,0,6072,0.98,4.7,ok
31,31,0,darkest,0.1,0.9922,0.6943,0.546,0,5371,1.016,1.1,ok
31,31,0,brownish,0.1,0.9831,0.2712,0.4163,0,3671,0.985,2.5,ok
31,31,0,orange,0.1,0.9864,0.7212,0.5523,0,29211,0.997,2.0,ok
31,31,0,spotted,0.1,0.961,0.6173,0.5135,0,5633,0.928,5.7,ok
32,32,0,darkest,0.1,0.9831,0.638,0.5263,0,5553,1.034,1.7,ok
32,32,0,brownish,0.1,0.9846,0.3028,0.4262,0,3584,0.976,2.3,ok
32,32,0,orange,0.1,0.9755,0.6975,0.5419,0,28977,0.992,3.7,ok
32,32,0,spotted,0.1,0.9627,0.6188,0.5145,0,5242,0.931,3.5,ok
33,33,0,darkest,0.1,0.9921,0.6077,0.5199,0,5638,1.015,1.2,ok
33,33,0,brownish,0.1,0.9913,0.324,0.4346,0,3569,0.996,1.3,ok
33,33,0,orange,0.1,0.9701,0.6811,0.5354,0,29844,1.03,4.5,ok
33,33,0,spotted,0.1,0.9866,0.593,0.5139,0,5105,0.974,0.8,ok
34,34,0,darkest,0.1,0.9951,0.5935,0.5166,0,5675,1.007,0.7,ok
34,34,0,brownish,0.1,0.9853,0.3323,0.4353,0,3674,1.029,0.7,ok
34,34,0,orange,0.1,0.9876,0.6518,0.5318,0,30175,1.011,1.9,ok
34,34,0,spotted,0.1,0.986,0.5464,0.4997,0,5144,1.008,2.1,ok
35,35,0,darkest,0.1,0.9953,0.5837,0.5137,0,5678,1.001,0.7,ok
35,35,0,brownish,0.1,0.9938,0.3406,0.4403,0,3667,0.998,0.9,ok
35,35,0,orange,0.1,0.9832,0.6251,0.5225,0,30360,1.006,2.5,ok
35,35,0,spotted,0.1,0.9782,0.4773,0.4766,0,5247,1.02,3.3,ok
36,36,0,darkest,0.1,0.9917,0.5634,0.5065,0,5772,1.017,1.0,ok
36,36,0,brownish,0.1,0.9964,0.3616,0.4474,0,3669,1.001,0.5,ok
36,36,0,orange,0.1,0.9774,0.5847,0.5086,0,30975,1.02,3.4,ok
36,36,0,spotted,0.1,0.9701,0.4205,0.4572,0,5176,0.986,4.5,ok
37,37,0,darkest,0.1,0.9963,0.5514,0.5043,0,5768,0.999,0.6,ok
37,37,0,brownish,0.1,0.9964,0.3559,0.4457,0,3643,0.993,0.4,ok
37,37,0,orange,0.1,0.9824,0.5647,0.5041,0,31486,1.016,2.6,ok
37,37,0,spotted,0.1,0.9677,0.3832,0.4453,0,5280,1.02,4.8,ok
38,38,0,darkest,0.1,0.9986,0.5461,0.5034,0,5760,0.999,0.2,ok
38,38,0,brownish,0.1,0.988,0.3429,0.4393,0,3676,1.009,1.8,ok
38,38,0,orange,0.1,0.9705,0.5872,0.5073,0,29734,0.944,2.6,ok
38,38,0,spotted,0.1,0.9631,0.3442,0.4322,0,5344,1.012,5.5,ok
39,39,0,darkest,0.1,0.9981,0.5501,0.5044,0,5738,0.996,0.1,ok
39,39,0,brownish,0.1,0.9935,0.3368,0.4391,0,3724,1.013,0.3,ok
39,39,0,orange,0.1,0.9594,0.6572,0.525,0,29017,0.976,6.1,ok
39,39,0,spotted,0.1,0.9828,0.3109,0.4281,0,5471,1.024,2.6,ok
40,40,0,darkest,0.1,0.9976,0.5511,0.5046,0,5730,0.999,0.4,ok
40,40,0,brownish,0.1,0.9955,0.3383,0.4401,0,3713,0.997,0.7,ok
40,40,0,orange,0.1,0.9743,0.6824,0.537,0,28277,0.974,3.9,ok
40,40,0,spotted,0.1,0.9845,0.2781,0.4188,0,5306,0.97,2.0,ok
41,41,0,darkest,0.1,0.9986,0.5512,0.5049,0,5746,1.003,0.0,ok
41,41,0,brownish,0.1,0.9925,0.3403,0.4398,0,3672,0.989,1.1,ok
41,41,0,orange,0.1,0.9603,0.7517,0.5536,0,27912,0.987,6.0,ok
41,41,0,spotted,0.1,0.974,0.2451,0.4057,0,5363,1.011,3.9,ok
42,42,0,darkest,0.1,0.9934,0.5466,0.502,0,5671,0.987,0.8,ok
42,42,0,brownish,0.1,0.9917,0.3378,0.4388,0,3733,1.017,0.3,ok
