block_id,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,2623,2407,295,0.11246664125047655,286,0.11882010801828001,0.28178756815835393
1,2793,2774,144,0.05155746509129968,138,0.04974765681326604,0.18590557387589016
2,2799,2717,623,0.2225794926759557,555,0.20426941479573058,0.31690884197594443
3,2838,2364,383,0.13495419309372797,35,0.014805414551607445,0.1921980657843267
4,2874,2558,724,0.25191370911621436,569,0.22243940578577012,0.32299823935614874
5,248,248,0,0.0,0,0.0,0.1696476696864078
