block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
0,14,525,549,7,7,0,0.0,0,0.0,0.22201305676613087
0,38,525,549,25,0,0,0.0,0,,
0,75,525,549,18,18,0,0.0,0,0.0,0.17707393138020489
0,113,525,549,25,25,0,0.0,0,0.0,0.13860490930730157
0,14,550,574,24,24,0,0.0,0,0.0,0.2475895346924799
0,38,550,574,25,0,0,0.0,0,,
0,75,550,574,24,24,0,0.0,0,0.0,0.14524738040768947
0,113,550,574,23,23,0,0.0,0,0.0,0.20551772514230116
0,14,575,599,25,25,0,0.0,0,0.0,0.25328694750992964
0,38,575,599,25,0,0,0.0,0,,
0,75,575,599,25,25,0,0.0,0,0.0,0.12894308932969115
0,113,575,599,24,24,0,0.0,0,0.0,0.14558739388157696
0,14,600,624,25,25,0,0.0,0,0.0,0.27074622675727267
0,38,600,624,25,0,0,0.0,0,,
0,75,600,624,24,24,0,0.0,0,0.0,0.13106493022411392
0,113,600,624,22,22,0,0.0,0,0.0,0.14192260788438602
0,14,625,649,24,24,0,0.0,0,0.0,0.27336193831295136
0,38,625,649,24,17,2,0.08333333333333333,1,0.058823529411764705,0.3110995331154935
0,75,625,649,23,23,0,0.0,0,0.0,0.1616433845688933
0,113,625,649,23,23,0,0.0,0,0.0,0.19938684875159346
0,14,650,674,25,25,0,0.0,0,0.0,0.23625545725350525
0,38,650,674,0,0,0,,0,,
0,75,650,674,0,0,0,,0,,
0,113,650,674,22,22,0,0.0,0,0.0,0.17604992455519344
0,14,675,699,12,12,0,0.0,0,0.0,0.25256262876850694
0,38,675,699,18,18,0,0.0,0,0.0,0.14017113848607993
0,75,675,699,19,19,0,0.0,0,0.0,0.1050192168338875
0,113,675,699,15,15,0,0.0,0,0.0,0.1805824271926439
0,14,700,724,15,15,0,0.0,0,0.0,0.22000449177586218
0,38,700,724,23,23,0,0.0,0,0.0,0.14300142083186812
0,75,700,724,25,25,0,0.0,0,0.0,0.08992464578400289
0,113,700,724,10,10,0,0.0,0,0.0,0.15999461176019278
0,14,725,749,23,23,0,0.0,0,0.0,0.21030721360256463
0,38,725,749,25,25,0,0.0,0,0.0,0.08539008332306576
0,75,725,749,25,25,0,0.0,0,0.0,0.106918623148543
0,113,725,749,21,21,0,0.0,0,0.0,0.09156762359518333
1,14,750,774,25,25,0,0.0,0,0.0,0.16660447441225146
1,38,750,774,24,24,0,0.0,0,0.0,0.08860749848020255
1,75,750,774,24,24,24,1.0,24,1.0,0.9988828881384823
1,113,750,774,25,25,0,0.0,0,0.0,0.13373661640596995
1,14,775,799,24,24,0,0.0,0,0.0,0.15174685449023012
1,38,775,799,24,24,0,0.0,0,0.0,0.11751884507171251
1,75,775,799,21,21,21,1.0,21,1.0,0.9871659065381683
1,113,775,799,23,23,0,0.0,0,0.0,0.1550038580374401
1,14,800,824,22,22,0,0.0,0,0.0,0.10013632952099781
1,38,800,824,24,24,0,0.0,0,0.0,0.07932592743112564
1,75,800,824,17,17,17,1.0,17,1.0,0.9974129436403907
1,113,800,824,25,25,0,0.0,0,0.0,0.1524516917037908
1,14,825,849,25,25,0,0.0,0,0.0,0.06661612048962148
1,38,825,849,25,25,0,0.0,0,0.0,0.12109129698215634
1,75,825,849,25,25,25,1.0,25,1.0,1.0
1,113,825,849,25,25,0,0.0,0,0.0,0.11731862413881294
1,14,850,874,25,25,0,0.0,0,0.0,0.12455289977109693
1,38,850,874,20,20,0,0.0,0,0.0,0.08641596773755102
1,75,850,874,25,25,25,1.0,25,1.0,1.0
1,113,850,874,25,25,0,0.0,0,0.0,0.14902940259655836
1,14,875,899,25,25,0,0.0,0,0.0,0.20031890316953976
1,38,875,899,25,25,0,0.0,0,0.0,0.08877205250404074
